prompt;correct_asnwer
Do the following two product decriptions match. Answer with yes or no. product 1: Corsair Carbide 275R Mid Tower ATX Case White TG CC-9011133-WW | PCByte, product 2: Corsair Carbide 175R RGB Black Mid Tower ATX Case, T/G Window, No PSU;0
Do the following two product decriptions match. Answer with yes or no. product 1: Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan | Discount Computer Needs, product 2: Corsair ML Series ML140 PRO LED Premium Magnetic Levitation;1
"Do the following two product decriptions match. Answer with yes or no. product 1: 1 TB WD My Passport, 2.5\"", USB 3.0, WD Backup - Röd, product 2: WD Black 1TB My Passport Portable USB3.0 HDD (WDBYVG0010BBK-WESN) (Warranty 3years with WD SG)";0
Do the following two product decriptions match. Answer with yes or no. product 1: PCIeX: RTX 2060 Dual EVO OC Edition Nvidia Asus 6GB/GDDR6/192bit/DVI, HDMI, DP ( Gaming ), product 2: ASUS Dual GeForce RTX 2060 OC 6GB Graphics Card;1
Do the following two product decriptions match. Answer with yes or no. product 1: Swiss Military Hanowa06-4307.30.007 Undercover Multifunction Uhr, product 2: Swiss Military Hanowa 06-4226.30.003.03;0
Do the following two product decriptions match. Answer with yes or no. product 1: Apple Airpods Pro with Wireless Charging Case, product 2: Apple AirPods (2nd Generation) Bluetooth Earbuds w/ Wireless Charging Case, White (MRXJ2AM/A);0
Do the following two product decriptions match. Answer with yes or no. product 1: HIKVISION 16CH TURBO DVR 16IP & 16 BNC, product 2: Hikvision 16CH Turbo Full HD1080P DVR;0
Do the following two product decriptions match. Answer with yes or no. product 1: Traveler's Lined Notebook Refill - Regular Size, product 2: Refill #012: Sketch Paper Notebook;0
Do the following two product decriptions match. Answer with yes or no. product 1: APC Smart-UPS 1000VA LCD RM, product 2: APC Smart-UPS 1000VA LCD 230V SMT1000I;0
Do the following two product decriptions match. Answer with yes or no. product 1: CASTI LOGITECH UC Corded Stereo USB Headset H570e (Leatherette Pad) - Business EMEA, product 2: LOGITECH - USB Headset H570e Mono USB EMEA;1
Do the following two product decriptions match. Answer with yes or no. product 1: D-LINK DGS-1210-24 Switch Smart 24 x 10/100/1000 + 4 x SFP, product 2: D-Link DGS-1210-28P network switch Managed L2 1U Power over Ethernet (PoE);0
Do the following two product decriptions match. Answer with yes or no. product 1: Memoire DDR3 Crucial DDR3 8 Go 1600 MHz ECC CL11, product 2: Crucial 8GB (1x8GB) DDR3L UDIMM 1600MHz ECC Unbuffered Dual Ranked Single Stick Server Desktop PC Memory RAM;1
Do the following two product decriptions match. Answer with yes or no. product 1: CORSAIR Crystal Series 570X RGB Mid Tower, product 2: Corsair Crystal Series 570X RGB White ATX;0
Do the following two product decriptions match. Answer with yes or no. product 1: Audemars Piguet Royal Oak Chronograph Watch - 26331ST.OO.1220ST.02, product 2: Audemars Piguet Royal Oak Chronograph Black Dial 41mm Steel;1
Do the following two product decriptions match. Answer with yes or no. product 1: Apple AirPods with Charging Case / COMPARE ON Amazon $139, product 2: Apple AirPods with Charging Case - (Brand New);0
Do the following two product decriptions match. Answer with yes or no. product 1: Samsung Dysk SSD Portable T7 2TB USB 3.2 GEN.2 BLUE, product 2: Samsung Portable SSD T7 2TB;1
Do the following two product decriptions match. Answer with yes or no. product 1: Traveler's Notebook Refill - Kraft Paper Blank, product 2: Traveler's Notebook / Passport Size - Blue;0
Do the following two product decriptions match. Answer with yes or no. product 1: Epson Tusz T7031 BLACK L do serii WorkForce WP4000/4500 (1.2k), product 2: Epson Cartouche black L 1200 Pages WF 4015DN/4025/4525DNF (C13T70314010);1
Do the following two product decriptions match. Answer with yes or no. product 1: Daniel Wellington Classic Sheffield DW00100020, product 2: Daniel Wellington Medium Rose Gold Black Canvas Watch DW00100150;0
Do the following two product decriptions match. Answer with yes or no. product 1: CANON 707 (LBP-5000) Cyan, product 2: Original EPSON S050189 Toner Cyan;0
Do the following two product decriptions match. Answer with yes or no. product 1: Traveler's Lined Notebook Refill - Regular Size, product 2: Traveler's Refills: MD Paper - 001 / lined;1
Do the following two product decriptions match. Answer with yes or no. product 1: Avid SRAM - AVIDBRAKE PADS SINTERED/STEEL, (1 SET) - TRAIL/GUIDE:, product 2: SRAM Sram Guide Disc Brake Pads;1
Do the following two product decriptions match. Answer with yes or no. product 1: Garmin Fenix 5 Multisport GPS Watch 47mm Case Slate Grey Band, product 2: GARMIN GPS chytré hodinky fenix5X Plus Sapphire Black, Black Band;0
Do the following two product decriptions match. Answer with yes or no. product 1: AirPods with Wireless Charging Case, product 2: Apple Airpods Pro with Wireless Charging Case;0
Do the following two product decriptions match. Answer with yes or no. product 1: Tello Part 9 Battery Hub, product 2: Baterie APC Battery kit APCRBC110;0
Do the following two product decriptions match. Answer with yes or no. product 1: Audio Technica ATH-PRO7X Professional On-Ear DJ Monitor Headphones (Black), product 2: Audio Technica ATH-M50x Professional Monitor Audiophile Headphones - White;0
Do the following two product decriptions match. Answer with yes or no. product 1: Gigabyte Radeon RX 5500 XT OC 4G, 4096 MB GDDR6, product 2: Radeon™ RX 5500 XT EVO, 1737 - 1865MHz, 8GB GDDR6, Graphics Card;0
Do the following two product decriptions match. Answer with yes or no. product 1: Deore XT 11-Speed Cassette, product 2: Dura-Ace 9100 11-Speed Cassette;0
Do the following two product decriptions match. Answer with yes or no. product 1: Swiss Military Hanowa06-4307.30.007 Undercover Multifunction Uhr, product 2: Swiss Military Hanowa Undercover 06-4307.30.007;1
Do the following two product decriptions match. Answer with yes or no. product 1: Brother HL-L6200DW Business Laser Printer with Wireless Networking, Duplex Printing - HL-L6200DW, product 2: Brother Business Laser Printer Wireless Networking and Duplex Printer;0
Do the following two product decriptions match. Answer with yes or no. product 1: Fuji Instax Mini RAINBOW COLOURS Instant Film for Fujifilm Instax Mini Cameras - 10 Shot Pack, product 2: Fuji Instax Mini Monochrome BLACK AND WHITE Instant Film - 10 Shot Pack;0
Do the following two product decriptions match. Answer with yes or no. product 1: Epson Premium Glossy Photo Paper A4 2x15 Bl. 255g, product 2: Epson Premium Glossy Photo Paper - 30 Sheets;0
Do the following two product decriptions match. Answer with yes or no. product 1: Fujifilm XF 23mm f1.4 R Lens, product 2: Fujifilm Fujinon XF 23/1,4;1
Do the following two product decriptions match. Answer with yes or no. product 1: Manfrotto MT055XPRO3 Aluminum Tripod with 502HD Fluid Head Hybrid Video Kit, product 2: Manfrotto MKBFRTA4BK-BH Befree Advanced Alu Reisestativ Kit Twist schwarz;0
Do the following two product decriptions match. Answer with yes or no. product 1: Sigma 35mm f/1.4 DG HSM Art Lens, product 2: Sigma 35mm f1.4 EX DG HSM A for Canon EOS;1
Do the following two product decriptions match. Answer with yes or no. product 1: Xerox 106R01162 High Capacity Yellow Toner Cartridge, product 2: OKI B401/Mb441/451 Bk High C Toner 2.5K;0
Do the following two product decriptions match. Answer with yes or no. product 1: Kingston DataTraveler microDuo 3.0 - 16 GB, product 2: Kingston 16GB DataTraveler DUO 3 DTDUO3/16GB USB 3.0 Flash Drive;1
Do the following two product decriptions match. Answer with yes or no. product 1: SONY FE 24-240mm F3.5-6.3 OSS Lens - SEL24240, product 2: Sony 30mm F3.5 Macro E-Mount Lens;0
Do the following two product decriptions match. Answer with yes or no. product 1: Apple AirPods with Charging Case (Latest Model), product 2: Apple AirPods with Charging Case - (Brand New);0
Do the following two product decriptions match. Answer with yes or no. product 1: SRAM Red XG-1090 X-Dome 10-Speed Cassette (Silver) (11-23T), product 2: Sram Xg-1090, 10Sp Cassette;1
Do the following two product decriptions match. Answer with yes or no. product 1: Samsung 970 EVO SSD M.2 2280 - 1TB SSD - 1 TB - M.2 2280 (80mm) - PCI Express 3.0 x4 (NVMe), product 2: SSD SAMSUNG 1TB MZ-V7E1T0BW 970 EVO;1
Do the following two product decriptions match. Answer with yes or no. product 1: Buy Quality Replica Audemars Piguet Royal Oak Offshore Chronograph Watch 26470OR.OO.A125CR.01, product 2: Audemars Piguet Royal Oak Offshore Selfwinding Chronograph Watch - 26470OR.OO.1000OR.02;0
Do the following two product decriptions match. Answer with yes or no. product 1: TAG Heuer Monaco Chronograph Calibre 02 Men's Watch, product 2: TAG Heuer Carrera Calibre 16 Automatic Men's Watch;0
Do the following two product decriptions match. Answer with yes or no. product 1: Samsung Portable SSD T7 Touch 1TB USB 3.2, product 2: Samsung Solid State Drive MU-PC1T0S/WW USB 3.2 Gen. 2 T7 Touch 1TB Portable Solid State Drive - Silver Retail;1
Do the following two product decriptions match. Answer with yes or no. product 1: Epson UltraChrome K3 T1571 Ink Cartridge - Photo Black, product 2: Epson T603700 Light Black Ink 220ml UltraChrome for SP 7800, 7880 & 9800, 9880;0
Do the following two product decriptions match. Answer with yes or no. product 1: Garmin Fenix 5S Black Sapphire with Black Band, product 2: GARMIN GPS chytré hodinky fenix5X Plus Sapphire Black, Black Band;0
Do the following two product decriptions match. Answer with yes or no. product 1: LaCie 2TB Rugged Thunderbolt / USB-C Mobile HDD, product 2: LaCie Mobile Drive STHG4000400 - hard drive - 4 TB - USB 3.1 Gen 2;0
Do the following two product decriptions match. Answer with yes or no. product 1: Samsung T7 Touch portable SSD 2TB Sort, product 2: Samsung Portable T5 2TB externe SSD;0
Do the following two product decriptions match. Answer with yes or no. product 1: DJI Mavic | Car Charger | Spare Part 6, product 2: DJI Mavic Air - Part 15 Travel Bag;1
Do the following two product decriptions match. Answer with yes or no. product 1: SanDisk SSD Plus 480GB best price, product 2: SanDisk SSD PLUS 480 GB Sata III 2.5 Inch Internal SSD, Up to 535 MB/s;1
Do the following two product decriptions match. Answer with yes or no. product 1: Epson Blekk Matt Svart Ultrachrome HDR - PRO 7900, product 2: Epson T6935 Ultrachrome XD Matte svart 350ml;0
Do the following two product decriptions match. Answer with yes or no. product 1: Canon EF-S 55-250 mm f/4-5.6 IS STM, product 2: Canon EF-S 55-250mm F4-5.6 IS STM Lens;1
Do the following two product decriptions match. Answer with yes or no. product 1: HyperX Predator XMP 16GB [2x8GB 3333MHz DDR4 CL16 DIMM], product 2: 16GB Kit (2 x 8GB) Vengeance LPX DDR4 3200MHz, CL16, Black, DIMM Memory;0
Do the following two product decriptions match. Answer with yes or no. product 1: Epson Multipack T0487 - Print cartridge - 1 x black, yellow, cyan, magenta, light magenta, light cyan, product 2: Western Digital WD20EZRZ 2 TB 3.5 Inch SATA 6 Gb/s 5400 RPM PC Hard Drive - SATA - 5400rpm - 64 MB Buffer - Blue 6GB;0
Do the following two product decriptions match. Answer with yes or no. product 1: Ubiquiti UniFi AP AC HD Wave 2 Access Point, Pack of 5, product 2: Ubiquiti UniFi AC HD UAP-AC-HD IEEE 802.11ac 2.47 Gbit/s Wireless Access Point - 2.40 GHz, 5 GHz - 2 x Network (RJ-45) - Ceiling Mountable, Wall Mountable - 5 Pack;1
Do the following two product decriptions match. Answer with yes or no. product 1: Jabra BIZ 2400 II Duo Wideband Corded Headset, product 2: Jabra BIZ2300 2399-829-109 DUO USB Headset;0
Do the following two product decriptions match. Answer with yes or no. product 1: Webcam Logitech HD Webcam C270 960-001063, product 2: Logitech C922 Pro Stream Webcam (960-001090);0
Do the following two product decriptions match. Answer with yes or no. product 1: TAG Heuer Automatic Watch WAZ2011.BA0842, product 2: Formula 1 Calibre 5 Automatic Watch;1
Do the following two product decriptions match. Answer with yes or no. product 1: Tissot Black Dial Seastar 1000 Chronograph Watch, product 2: Tissot Seastar 1000 Powermatic80 T1204071704100;0
Do the following two product decriptions match. Answer with yes or no. product 1: Evans Evans EMAD Clear Bass, product 2: Evans EMAD 2 Clear Batter Bass Drumhead 22 in.;0
Do the following two product decriptions match. Answer with yes or no. product 1: Shimano Catena deore xt/xtr/slx hg95 10v. 116l, product 2: Shimano Chain CN-HG95 10 Speed MTB;1
Do the following two product decriptions match. Answer with yes or no. product 1: Pokemon Pokemon TCG: Sword & Shield - Booster Pack, product 2: Pokemon TCG: Darkness Ablaze - Elite Trainer Box;0
Do the following two product decriptions match. Answer with yes or no. product 1: Kingston HX316C10FBK2/8 (DDR3, 2x 4 Gb, 1600 , CL10-10-10, DIMM), product 2: HyperX Fury DDR3 1600MHz 8GB;1
Do the following two product decriptions match. Answer with yes or no. product 1: Canon CLI251XL High Yield Black Inkjet Cartridge Remanufactured, product 2: Canon CNM6448B001-6448B001 CLI-251XL ChromaLife100 High-Yield Ink;1
Do the following two product decriptions match. Answer with yes or no. product 1: Manfrotto MHXPRO-2W XPRO Fluid Kopf, product 2: Manfrotto MHXPRO-2W Video Fluid Head;1
Do the following two product decriptions match. Answer with yes or no. product 1: Apple AirPods with Charging Case / COMPARE ON Amazon $139, product 2: Apple Airpods Pro with Wireless Charging Case;0
Do the following two product decriptions match. Answer with yes or no. product 1: SRAM Organic Disc Brake Pads - Level Ultimate / TLM, product 2: PASTIGLIE ORG-STEEL ROAD/LEVEL ULTIM.;1
Do the following two product decriptions match. Answer with yes or no. product 1: JABARA Evolve 65 with Link 370 USB - Mono, product 2: Jabra Evolve 65 Stereo Headsets;1
Do the following two product decriptions match. Answer with yes or no. product 1: ADATA XPG SX8200 Pro NVME 256GB M.2 SSD, product 2: Asus TURBO-RTX2060S-8G-EVO (8GB);0
Do the following two product decriptions match. Answer with yes or no. product 1: ASUS GeForce GTX1660 DUAL EVO OC, product 2: ASUS VGA NVIDIA DUAL-GTX1660-O6G-EVO, GTX 1660, 6GB GDDR5;1
Do the following two product decriptions match. Answer with yes or no. product 1: Audio Technica Headphones ATH-M50XWH 3.5mm (1/8 inch), Headband/On-Ear, White, product 2: Audio Technica ATH-M50x Professional Monitor Headphones;0
Do the following two product decriptions match. Answer with yes or no. product 1: Atomos Cable - Full HDMI 30cm, product 2: Atomos ATOMCAB010 Coiled Full HDMI to Full HDMI Cable;1
Do the following two product decriptions match. Answer with yes or no. product 1: [Fujifilm]100 Sheet Fujifilm Instax Square Plain White Instant Polaroid Film for SQ 10 Camera | SP3 Printer, product 2: Fujifilm Instax Square Instant Film - 20 Photos;1
Do the following two product decriptions match. Answer with yes or no. product 1: EPSON cartridge T7551 black XL (WF-8xxx), product 2: Epson C13T755140 T7551 Black Ink 100ml;1
Do the following two product decriptions match. Answer with yes or no. product 1: Crucial 4GB (1x4GB) Single Channel (DDR3L 1600, 11.0, 1.35v), product 2: Crucial 4GB DDR3L 1600MHz SO-DIMM Single Rank;0
Do the following two product decriptions match. Answer with yes or no. product 1: Canon EF-S 18-200mm f3.5-5.6 IS Lens, product 2: Canon EF-S 55-250 mm f/4-5.6 IS STM;0
Do the following two product decriptions match. Answer with yes or no. product 1: G.Skill Trident Z Neo 16GB (2x8GB) 3600MHz DDR4 Desktop Memory Kit, product 2: G.SKILL 16GB (8GBX2) 3600 MHZ DDR4 TRIDENT Z NEO RGB RAM (F4-3600C16D-16GTZNC);1
Do the following two product decriptions match. Answer with yes or no. product 1: Shimano Ultegra CS-R8000 11sp Cassette 11-28T, product 2: Shimano Dura-Ace CS-R9100 Cassette 11 vitesses;0
Do the following two product decriptions match. Answer with yes or no. product 1: Logitech C310 Webcam - 1 Megapixel - USB 2.0, product 2: Logitech C310 Siyah HD Webcam (960-001065 V-U0015);1
Do the following two product decriptions match. Answer with yes or no. product 1: T1204171704100 Tissot Seastar 1000 Quartz, product 2: Tissot Seastar 1000 T120.417.11.051.00;0
Do the following two product decriptions match. Answer with yes or no. product 1: Corsair Vengeance RGB Pro 16GB 2x8GB 288-Pin DDR4 DRAM DDR4 3000 (PC4 24000) Desktop Memory Model - White | CMW16GX4M2C3000C15W, product 2: 16GB Kit (2 x 8GB) Vengeance RGB Pro DDR4 3000MHz, CL15, White, RGB LED, DIMM Memory;1
